split,city,filename,image_width,image_height,person_10_proportion,person_11_proportion,person_12_proportion,person_13_proportion,person_14_proportion,person_15_proportion,person_16_proportion,person_17_proportion,person_18_proportion,person_19_proportion,person_1_proportion,person_20_proportion,person_21_proportion,person_22_proportion,person_23_proportion,person_24_proportion,person_25_proportion,person_26_proportion,person_27_proportion,person_28_proportion,person_29_proportion,person_2_proportion,person_30_proportion,person_31_proportion,person_32_proportion,person_33_proportion,person_34_proportion,person_35_proportion,person_36_proportion,person_37_proportion,person_38_proportion,person_39_proportion,person_3_proportion,person_40_proportion,person_41_proportion,person_42_proportion,person_43_proportion,person_44_proportion,person_45_proportion,person_46_proportion,person_47_proportion,person_48_proportion,person_49_proportion,person_4_proportion,person_50_proportion,person_51_proportion,person_52_proportion,person_53_proportion,person_54_proportion,person_55_proportion,person_56_proportion,person_57_proportion,person_58_proportion,person_59_proportion,person_5_proportion,person_60_proportion,person_61_proportion,person_62_proportion,person_63_proportion,person_64_proportion,person_65_proportion,person_66_proportion,person_67_proportion,person_68_proportion,person_69_proportion,person_6_proportion,person_70_proportion,person_71_proportion,person_72_proportion,person_73_proportion,person_74_proportion,person_75_proportion,person_76_proportion,person_77_proportion,person_78_proportion,person_79_proportion,person_7_proportion,person_80_proportion,person_81_proportion,person_82_proportion,person_83_proportion,person_84_proportion,person_85_proportion,person_86_proportion,person_87_proportion,person_88_proportion,person_89_proportion,person_8_proportion,person_90_proportion,person_91_proportion,person_92_proportion,person_93_proportion,person_94_proportion,person_95_proportion,person_9_proportion,building_10_proportion,building_11_proportion,building_12_proportion,building_13_proportion,building_14_proportion,building_15_proportion,building_16_proportion,building_17_proportion,building_18_proportion,building_19_proportion,building_1_proportion,building_20_proportion,building_2_proportion,building_3_proportion,building_4_proportion,building_5_proportion,building_6_proportion,building_7_proportion,building_8_proportion,building_9_proportion,car_10_proportion,car_11_proportion,car_12_proportion,car_13_proportion,car_14_proportion,car_15_proportion,car_16_proportion,car_17_proportion,car_18_proportion,car_19_proportion,car_1_proportion,car_20_proportion,car_21_proportion,car_22_proportion,car_23_proportion,car_24_proportion,car_25_proportion,car_26_proportion,car_27_proportion,car_28_proportion,car_29_proportion,car_2_proportion,car_30_proportion,car_31_proportion,car_32_proportion,car_33_proportion,car_34_proportion,car_35_proportion,car_36_proportion,car_37_proportion,car_38_proportion,car_39_proportion,car_3_proportion,car_40_proportion,car_41_proportion,car_42_proportion,car_43_proportion,car_44_proportion,car_45_proportion,car_46_proportion,car_47_proportion,car_48_proportion,car_49_proportion,car_4_proportion,car_50_proportion,car_51_proportion,car_52_proportion,car_53_proportion,car_54_proportion,car_55_proportion,car_56_proportion,car_57_proportion,car_5_proportion,car_6_proportion,car_7_proportion,car_8_proportion,car_9_proportion
train,aachen,aachen_000010_000019_gtFine,2048,1024,,,,,,,,,,,0.000298,,,,,,,,,,,0.001179,,,,,,,,,,,0.001355,,,,,,,,,,,0.000339,,,,,,,,,,,0.000341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261564,,0.001179,,,,,,,,0.000925,0.000069,0.000107,0.000159,0.001387,0.000417,0.000823,0.002816,0.000123,0.002256,0.000110,0.004021,0.054685,0.119418,,,,,,,,0.000209,,,,,,,,,,,0.000122,,,,,,,,,,,0.000033,,,,,,,,,0.000202,0.000335,0.000264,0.000239,0.000201
train,aachen,aachen_000011_000019_gtFine,2048,1024,0.000191,0.000314,0.000262,0.000120,0.000099,0.000366,,,,,0.000029,,,,,,,,,,,0.000051,,,,,,,,,,,0.000052,,,,,,,,,,,0.000033,,,,,,,,,,,0.000141,,,,,,,,,,,0.000084,,,,,,,,,,,0.000182,,,,,,,,,,,0.000161,,,,,,,0.000094,,,,,,,,,,,0.001081,,0.329357,0.026184,,,,,,,0.000322,0.004129,,,,,,,,,0.000271,,,,,,,,,,,0.000478,,,,,,,,,,,0.001613,,,,,,,,,,,0.009330,,,,,,,,,0.002611,0.014634,0.038639,0.002352,0.022830
train,aachen,aachen_000012_000019_gtFine,2048,1024,0.000810,0.001377,0.003729,0.000141,0.000048,0.000309,0.000163,0.000554,0.000677,0.000748,0.000016,0.000413,0.000854,0.000580,,,,,,,,0.000715,,,,,,,,,,,0.000020,,,,,,,,,,,0.000020,,,,,,,,,,,0.000091,,,,,,,,,,,0.000110,,,,,,,,,,,0.000221,,,,,,,,,,,0.000315,,,,,,,0.000559,,,,,,,,,,,0.362721,,0.015357,,,,,,,,0.063108,,,,,,,,,,0.000113,,,,,,,,,,,0.000571,,,,,,,,,,,0.000356,,,,,,,,,,,0.000460,,,,,,,,,0.001952,0.004190,0.000680,0.000775,0.013378
train,aachen,aachen_000013_000019_gtFine,2048,1024,,,,,,,,,,,0.000209,,,,,,,,,,,0.000154,,,,,,,,,,,0.000132,,,,,,,,,,,0.000112,,,,,,,,,,,0.000249,,,,,,,,,,,0.000198,,,,,,,,,,,0.000417,,,,,,,,,,,0.001075,,,,,,,0.000741,,,,,,,,,,,0.417182,,0.071269,,,,,,,,0.030293,0.010857,0.001763,0.001857,0.001888,0.003815,0.004277,0.006132,0.009172,0.016953,0.004981,0.035606,0.016131,,,,,,,,,0.000614,,,,,,,,,,,0.003178,,,,,,,,,,,0.002764,,,,,,,,,0.006856,0.005448,0.004264,0.022429,0.017087
train,aachen,aachen_000014_000019_gtFine,2048,1024,0.000042,0.000030,0.008586,0.011066,0.009317,0.013109,0.015556,0.000805,0.001102,0.001101,0.000161,0.008902,0.000998,,,,,,,,,0.000337,,,,,,,,,,,0.000905,,,,,,,,,,,0.001196,,,,,,,,,,,0.000916,,,,,,,,,,,0.001158,,,,,,,,,,,0.001254,,,,,,,,,,,0.001375,,,,,,,0.000099,,,,,,,,,,,0.447712,,,,,,,,,,,,,,,,,,,,0.000094,,,,,,,,,,,0.000127,,,,,,,,,,,0.000338,,,,,,,,,,,0.002434,,,,,,,,,0.003033,0.002651,0.000237,0.000038,
train,aachen,aachen_000015_000019_gtFine,2048,1024,0.000376,0.000294,0.000699,0.000444,0.001987,0.000082,0.000087,0.000129,0.000124,0.000243,0.001002,0.001818,0.002347,0.002216,0.002709,,,,,,,0.001106,,,,,,,,,,,0.000089,,,,,,,,,,,0.000103,,,,,,,,,,,0.000081,,,,,,,,,,,0.000061,,,,,,,,,,,0.000099,,,,,,,,,,,0.000051,,,,,,,0.000097,,,,,,,,,,,0.400790,,,,,,,,,,0.003794,0.005422,0.032060,,,,,,,,0.000240,,,,,,,,,,,0.000192,,,,,,,,,,,0.000384,,,,,,,,,,,0.000209,,,,,,,,,0.000374,0.000568,0.000367,0.000633,0.001466
train,aachen,aachen_000016_000019_gtFine,2048,1024,0.000067,0.000118,0.000196,0.000173,0.000436,0.000870,0.000939,0.001632,0.002013,0.002068,0.000111,0.001549,0.001678,0.002287,0.000281,0.002716,0.002108,0.003000,0.003846,0.002743,0.000236,0.000122,0.000281,0.000656,0.000474,0.000353,0.001002,0.000701,0.000788,0.001111,0.000674,0.000923,0.000087,0.000932,0.000865,,,,,,,,,0.000136,,,,,,,,,,,0.000113,,,,,,,,,,,0.000062,,,,,,,,,,,0.000068,,,,,,,,,,,0.000106,,,,,,,0.000104,,,,,,,,,,,0.018092,,0.191244,0.154974,0.000957,,,,,,,,,,,,,,,,0.000136,,,,,,,,,,,0.000099,,,,,,,,,,,0.000121,,,,,,,,,,,0.000807,,,,,,,,,0.003963,,,,
train,aachen,aachen_000017_000019_gtFine,2048,1024,0.013342,0.012114,0.014602,0.004529,0.005854,0.001652,0.001849,0.002489,0.003244,,0.000150,,,,,,,,,,,0.000187,,,,,,,,,,,0.000069,,,,,,,,,,,0.000119,,,,,,,,,,,0.000104,,,,,,,,,,,0.001698,,,,,,,,,,,0.001484,,,,,,,,,,,0.003023,,,,,,,0.004888,,,,,,,,,,,0.495244,,,,,,,,,,,,,,,,,,,,0.007432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train,aachen,aachen_000018_000019_gtFine,2048,1024,0.000703,0.000780,0.001352,0.003306,0.001510,0.003024,0.000792,0.003370,0.015165,0.013833,0.000377,0.000283,0.000274,0.000152,0.001601,0.000834,0.001414,0.000499,0.000498,,,0.000526,,,,,,,,,,,0.000643,,,,,,,,,,,0.000959,,,,,,,,,,,0.000312,,,,,,,,,,,0.000431,,,,,,,,,,,0.001187,,,,,,,,,,,0.000335,,,,,,,0.000457,,,,,,,,,,,0.486099,,,,,,,,,,,,,,,,,,,,0.004048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train,aachen,aachen_000019_000019_gtFine,2048,1024,0.001427,0.001850,0.000817,0.000827,0.000956,0.000200,0.001596,0.001751,0.001025,0.000842,0.000348,0.000663,0.000461,0.006228,0.005543,0.003365,0.005316,0.000217,0.001004,0.000364,0.000348,0.000540,0.000082,0.000072,0.000267,0.000844,0.000772,0.002231,0.001995,,,,0.000275,,,,,,,,,,,0.000744,,,,,,,,,,,0.001092,,,,,,,,,,,0.001119,,,,,,,,,,,0.000549,,,,,,,,,,,0.000319,,,,,,,0.001556,,,,,,,,,,,0.028786,,0.347716,,,,,,,,,,,,,,,,,,0.013676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train,aachen,aachen_000020_000019_gtFine,2048,1024,0.022161,0.022097,0.017370,,,,,,,,0.000275,,,,,,,,,,,0.000353,,,,,,,,,,,0.000435,,,,,,,,,,,0.000290,,,,,,,,,,,0.001102,,,,,,,,,,,0.000864,,,,,,,,,,,0.001892,,,,,,,,,,,0.005403,,,,,,,0.007633,,,,,,,,,,,0.188369,,0.277945,,,,,,,,,,,,,,,,,,0.001119,,,,,,,,,,,0.000946,,,,,,,,,,,0.001010,,,,,,,,,,,0.000401,,,,,,,,,0.002339,0.003964,,,
train,aachen,aachen_000021_000019_gtFine,2048,1024,0.000425,0.009718,0.000603,0.006098,0.007049,0.009641,0.000283,0.000212,0.005654,0.007362,0.000321,0.006679,0.009957,,,,,,,,,0.000391,,,,,,,,,,,0.000839,,,,,,,,,,,0.000105,,,,,,,,,,,0.000394,,,,,,,,,,,0.000533,,,,,,,,,,,0.000779,,,,,,,,,,,0.000340,,,,,,,0.000225,,,,,,,,,,,0.464803,,0.139917,,,,,,,,,,,,,,,,,,0.003308,,,,,,,,,,,0.003089,,,,,,,,,,,0.006978,,,,,,,,,,,0.002640,,,,,,,,,0.014152,0.002892,0.004800,0.005825,
train,aachen,aachen_000022_000019_gtFine,2048,1024,0.008343,0.004569,0.006688,0.009263,,,,,,,0.000212,,,,,,,,,,,0.001707,,,,,,,,,,,0.003281,,,,,,,,,,,0.004295,,,,,,,,,,,0.009573,,,,,,,,,,,0.005113,,,,,,,,,,,0.004326,,,,,,,,,,,0.005852,,,,,,,0.006128,,,,,,,,,,,0.587053,,,,,,,,,,,,,,,,,,,,0.048347,,,,,,,,,,,0.048824,,,,,,,,,,,0.043069,,,,,,,,,,,0.041878,,,,,,,,,0.001742,,,,
train,aachen,aachen_000023_000019_gtFine,2048,1024,,,,,,,,,,,0.000457,,,,,,,,,,,0.001178,,,,,,,,,,,0.001107,,,,,,,,,,,0.001361,,,,,,,,,,,0.003222,,,,,,,,,,,0.005416,,,,,,,,,,,0.005013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.552503,,,,,,,,,,,,,,,,,,,,0.005954,,,,,,,,,,,0.020380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train,aachen,aachen_000024_000019_gtFine,2048,1024,,,,,,,,,,,0.004751,,,,,,,,,,,0.001305,,,,,,,,,,,0.003387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.540517,,,,,,,,,,,,,,,,,,,,0.003774,,,,,,,,,,,0.023041,,,,,,,,,,,0.036692,,,,,,,,,,,,,,,,,,,,,,,,
train,aachen,aachen_000025_000019_gtFine,2048,1024,,,,,,,,,,,0.000370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.460617,,0.053895,0.017718,,,,,,,0.000446,0.000537,0.000962,0.003731,0.011361,,,,,,0.000643,,,,,,,,,,,0.000206,,,,,,,,,,,0.000270,,,,,,,,,,,0.000296,,,,,,,,,0.000303,0.000323,0.000393,0.000485,0.000615
train,aachen,aachen_000026_000019_gtFine,2048,1024,,,,,,,,,,,0.000099,,,,,,,,,,,0.000143,,,,,,,,,,,0.000190,,,,,,,,,,,0.000091,,,,,,,,,,,0.000161,,,,,,,,,,,0.000564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.131100,,0.100753,0.130448,0.130448,0.010025,,,,,0.019663,0.000226,0.000239,0.000333,0.000333,0.000440,0.000504,0.016860,,,0.000203,,,,,,,,,,,0.000714,,,,,,,,,,,0.004585,,,,,,,,,,,0.002017,,,,,,,,,0.001336,0.001545,0.010820,0.005745,0.006734
train,aachen,aachen_000027_000019_gtFine,2048,1024,,,,,,,,,,,0.001600,,,,,,,,,,,0.000426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032073,,0.225913,0.154620,,,,,,,0.000533,0.000411,0.000516,0.000626,0.000786,0.001016,0.001571,0.002709,0.009476,0.017743,0.000149,0.000417,0.012405,,,,,,,,,0.000209,,,,,,,,,,,0.000110,,,,,,,,,,,0.000346,,,,,,,,,0.000233,0.001315,0.002171,0.048910,0.000201
train,aachen,aachen_000028_000019_gtFine,2048,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.218111,,0.000661,0.216971,0.034764,0.001033,0.000368,,,,,,,,,,,,,,0.002331,,,,,,,,,,,0.002215,,,,,,,,,,,0.003496,,,,,,,,,,,0.007973,,,,,,,,,0.013111,0.000666,0.009816,0.034552,0.042016
train,aachen,aachen_000029_000019_gtFine,2048,1024,0.004286,0.002190,0.003366,,,,,,,,0.001187,,,,,,,,,,,0.000277,,,,,,,,,,,0.000825,,,,,,,,,,,0.000778,,,,,,,,,,,0.001404,,,,,,,,,,,0.003502,,,,,,,,,,,0.004088,,,,,,,,,,,0.005238,,,,,,,0.004061,,,,,,,,,,,0.020175,,0.176906,0.211215,,,,,,,0.002181,0.000922,0.003726,0.000308,0.011204,0.007727,,,,,0.000143,,,,,,,,,,,0.000522,,,,,,,,,,,0.000513,,,,,,,,,,,0.001582,,,,,,,,,0.000240,0.000280,0.001107,0.000871,0.002092
train,aachen,aachen_000030_000019_gtFine,2048,1024,,,,,,,,,,,0.000197,,,,,,,,,,,0.000144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185716,,0.015749,0.019114,0.122678,,,,,,0.015770,0.018070,0.018070,0.077983,0.077983,,,,,,0.002323,,,,,,,,,,,0.004485,,,,,,,,,,,0.005652,,,,,,,,,,,0.018070,,,,,,,,,0.000445,0.003644,0.002784,0.003952,0.009609
train,aachen,aachen_000031_000019_gtFine,2048,1024,0.000352,0.030241,0.000587,0.000448,0.000418,,,,,,0.000225,,,,,,,,,,,0.000623,,,,,,,,,,,0.001257,,,,,,,,,,,0.000576,,,,,,,,,,,0.000080,,,,,,,,,,,0.001196,,,,,,,,,,,0.001196,,,,,,,,,,,0.001226,,,,,,,0.027626,,,,,,,,,,,0.026347,,0.269985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train,aachen,aachen_000032_000019_gtFine,2048,1024,,,,,,,,,,,0.001154,,,,,,,,,,,0.001138,,,,,,,,,,,0.000181,,,,,,,,,,,0.000207,,,,,,,,,,,0.000163,,,,,,,,,,,0.000181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.283653,,,,,,,,,,,,,,,,,,,,0.000241,,,,,,,,,,,0.000089,,,,,,,,,,,0.000087,,,,,,,,,,,0.003925,,,,,,,,,,,,,
train,aachen,aachen_000033_000019_gtFine,2048,1024,,,,,,,,,,,0.000251,,,,,,,,,,,0.000345,,,,,,,,,,,0.002801,,,,,,,,,,,0.000731,,,,,,,,,,,0.005194,,,,,,,,,,,0.000050,,,,,,,,,,,0.004003,,,,,,,,,,,0.006954,,,,,,,,,,,,,,,,,,0.417698,,,,,,,,,,0.001713,,,,,,,,,,0.000569,,,,,,,,,,,0.000699,,,,,,,,,,,0.000564,,,,,,,,,,,0.000429,,,,,,,,,0.000663,0.000730,0.001078,0.001166,0.002905
train,aachen,aachen_000034_000019_gtFine,2048,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.420127,,0.002053,,,,,,,,0.003001,0.007175,0.010503,0.018226,0.042090,0.001099,0.000564,0.000568,0.000366,0.000774,0.000599,0.000511,0.001628,0.001347,0.002231,0.007361,0.009164,0.015722,0.086406,0.025306,,0.000473,,,,,,,,,,,0.000351,,,,,,,,,,,0.001417,,,,,,,,,0.000701,0.000759,0.003280,0.002698,0.003244
train,aachen,aachen_000035_000019_gtFine,2048,1024,,,,,,,,,,,0.000179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.480025,,,,,,,,,,,,,,,,,,,,0.009030,,,,,,,,,,,0.002150,,,,,,,,,,,0.002786,,,,,,,,,,,0.000702,,,,,,,,,,,,,
train,aachen,aachen_000036_000019_gtFine,2048,1024,,,,,,,,,,,0.000587,,,,,,,,,,,0.000629,,,,,,,,,,,0.000473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.404923,,,,,,,,,,,,,,,,,,,,0.005059,,,,,,,,,,,0.015341,,,,,,,,,,,0.012543,,,,,,,,,,,0.036383,,,,,,,,,,,,,
train,aachen,aachen_000037_000019_gtFine,2048,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.520324,,,,,,,,,,,,,,,,,,,,0.002314,,,,,,,,,,,0.009182,,,,,,,,,,,0.006435,,,,,,,,,,,0.012072,,,,,,,,,0.028631,0.015243,,,
train,aachen,aachen_000038_000019_gtFine,2048,1024,,,,,,,,,,,0.001184,,,,,,,,,,,0.004462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.570335,,0.003607,,,,,,,,,,,,,,,,,,0.002295,,,,,,,,,,,0.003113,,,,,,,,,,,0.000841,,,,,,,,,,,0.004579,,,,,,,,,,,,,
